Case,Item_Type,date,price_usd,volume
Chroma Case,Case,2015-01-09T01:00:00Z,10.129,74129
Chroma Case,Case,2015-01-10T01:00:00Z,5.953,87686
Chroma Case,Case,2015-01-11T01:00:00Z,4.544,86192
Chroma Case,Case,2015-01-12T01:00:00Z,4.263,65737
Chroma Case,Case,2015-01-13T01:00:00Z,3.961,64090
Chroma Case,Case,2015-01-14T01:00:00Z,3.446,67710
Chroma Case,Case,2015-01-15T01:00:00Z,3.301,63915
Chroma Case,Case,2015-01-16T01:00:00Z,2.929,73142
Chroma Case,Case,2015-01-17T01:00:00Z,2.501,86983
Chroma Case,Case,2015-01-18T01:00:00Z,2,90765
Chroma Case,Case,2015-01-19T01:00:00Z,2.101,73073
Chroma Case,Case,2015-01-20T01:00:00Z,2.06,67436
Chroma Case,Case,2015-01-21T01:00:00Z,1.917,65931
Chroma Case,Case,2015-01-22T01:00:00Z,1.813,73193
Chroma Case,Case,2015-01-23T01:00:00Z,1.924,81161
Chroma Case,Case,2015-01-24T01:00:00Z,1.766,84206
Chroma Case,Case,2015-01-25T01:00:00Z,1.483,95932
Chroma Case,Case,2015-01-26T01:00:00Z,1.488,79298
Chroma Case,Case,2015-01-27T01:00:00Z,1.498,77197
Chroma Case,Case,2015-01-28T01:00:00Z,1.459,72583
Chroma Case,Case,2015-01-29T01:00:00Z,1.372,79614
Chroma Case,Case,2015-01-30T01:00:00Z,1.333,96233
Chroma Case,Case,2015-01-31T01:00:00Z,1.287,106019
Chroma Case,Case,2015-02-01T01:00:00Z,1.089,104071
Chroma Case,Case,2015-02-02T01:00:00Z,1.098,89433
Chroma Case,Case,2015-02-03T01:00:00Z,1.156,84973
Chroma Case,Case,2015-02-04T01:00:00Z,1.194,81762
Chroma Case,Case,2015-02-05T01:00:00Z,1.199,78297
Chroma Case,Case,2015-02-06T01:00:00Z,1.165,85512
Chroma Case,Case,2015-02-07T01:00:00Z,1.061,97339
Chroma Case,Case,2015-02-08T01:00:00Z,0.949,101036
Chroma Case,Case,2015-02-09T01:00:00Z,0.902,82523
Chroma Case,Case,2015-02-10T01:00:00Z,0.892,79492
Chroma Case,Case,2015-02-11T01:00:00Z,0.876,79570
Chroma Case,Case,2015-02-12T01:00:00Z,0.88,87289
Chroma Case,Case,2015-02-13T01:00:00Z,0.91,95512
Chroma Case,Case,2015-02-14T01:00:00Z,0.899,100599
Chroma Case,Case,2015-02-15T01:00:00Z,0.819,99018
Chroma Case,Case,2015-02-16T01:00:00Z,0.735,87867
Chroma Case,Case,2015-02-17T01:00:00Z,0.713,85932
Chroma Case,Case,2015-02-18T01:00:00Z,0.736,87819
Chroma Case,Case,2015-02-19T01:00:00Z,0.762,85550
Chroma Case,Case,2015-02-20T01:00:00Z,0.798,95582
Chroma Case,Case,2015-02-21T01:00:00Z,0.771,97533
Chroma Case,Case,2015-02-22T01:00:00Z,0.649,99335
Chroma Case,Case,2015-02-23T01:00:00Z,0.624,90372
Chroma Case,Case,2015-02-24T01:00:00Z,0.688,91087
Chroma Case,Case,2015-02-25T01:00:00Z,0.759,94915
Chroma Case,Case,2015-02-26T01:00:00Z,0.818,87212
Chroma Case,Case,2015-02-27T01:00:00Z,0.859,107615
Chroma Case,Case,2015-02-28T01:00:00Z,0.818,107988
Chroma Case,Case,2015-03-01T01:00:00Z,0.748,103956
Chroma Case,Case,2015-03-02T01:00:00Z,0.742,86938
Chroma Case,Case,2015-03-03T01:00:00Z,0.769,85271
Chroma Case,Case,2015-03-04T01:00:00Z,0.784,78965
Chroma Case,Case,2015-03-05T01:00:00Z,0.753,81170
Chroma Case,Case,2015-03-06T01:00:00Z,0.717,94547
Chroma Case,Case,2015-03-07T01:00:00Z,0.651,105774
Chroma Case,Case,2015-03-08T01:00:00Z,0.596,101855
Chroma Case,Case,2015-03-09T01:00:00Z,0.548,85613
Chroma Case,Case,2015-03-10T01:00:00Z,0.585,82941
Chroma Case,Case,2015-03-11T01:00:00Z,0.599,73926
Chroma Case,Case,2015-03-12T01:00:00Z,0.522,82693
Chroma Case,Case,2015-03-13T01:00:00Z,0.561,97582
Chroma Case,Case,2015-03-14T01:00:00Z,0.527,114896
Chroma Case,Case,2015-03-15T01:00:00Z,0.444,115346
Chroma Case,Case,2015-03-16T01:00:00Z,0.402,95124
Chroma Case,Case,2015-03-17T01:00:00Z,0.431,88471
Chroma Case,Case,2015-03-18T01:00:00Z,0.431,85070
Chroma Case,Case,2015-03-19T01:00:00Z,0.444,91613
Chroma Case,Case,2015-03-20T01:00:00Z,0.461,103536
Chroma Case,Case,2015-03-21T01:00:00Z,0.435,112947
Chroma Case,Case,2015-03-22T01:00:00Z,0.381,109970
Chroma Case,Case,2015-03-23T01:00:00Z,0.363,97483
Chroma Case,Case,2015-03-24T01:00:00Z,0.367,97454
Chroma Case,Case,2015-03-25T01:00:00Z,0.404,106436
Chroma Case,Case,2015-03-26T01:00:00Z,0.441,100462
